return_diff,ticker
-0.003144,C6L
-0.006826,5EB
-0.028040,A17U
-0.028900,AW9U
-0.034437,ACV
-0.043686,5DP
-0.059612,5PO
-0.122874,C07
-0.132168,528
-0.358025,544
-0.389484,CJLU
-0.457544,B26
-0.620236,C38U
0.000000,1B0
0.000000,1D1
0.000000,1F3
0.000000,1H3
0.000000,40V
0.000000,42F
0.000000,42T
0.000000,42W
0.000000,554
0.000000,579
0.000000,5AE
0.000000,5FW
0.000000,5GI
0.000000,5NF
0.000000,5NV
0.000000,5VP
0.000000,5WA
0.000000,5WF
0.000000,8YY
0.000000,9QX
0.000000,A04
0.000000,A31
0.000000,AAJ
0.000000,AJ2
0.000000,B58
0.000000,BEZ
0.000000,BQD
0.000000,BVA
0.000000,C76
0.000000,CGN
0.000000,CNE
0.000000,DU4
0.000000,E27
0.000000,E28
0.000000,E3B
0.000000,E5H
0.000000,EB5
0.000000,ENV
0.000000,ER0
0.000000,F03
0.000000,F13
0.000000,F17
0.000000,F34
0.000000,F83
0.000000,F99
0.000000,F9D
0.000000,G07
0.000000,G13
0.000000,G50
0.000000,G92
0.000000,H02
0.000000,H07
0.000000,H13
0.000000,H15
0.000000,H18
0.000000,H22
0.000000,H30
0.000000,H78
0.000000,HMN
0.000000,HQU
0.000000,i07
0.000000,IX2
0.000000,J2T
0.000000,J36
0.000000,J69U
0.000000,J85
0.000000,J91U
0.000000,JLB
0.000000,JYEU
0.000000,K71U
0.000000,L23
0.000000,L38
0.000000,LJ3
0.000000,LS9
0.000000,M01
0.000000,M04
0.000000,M05
0.000000,M14
0.000000,M15
0.000000,M1GU
0.000000,M44U
0.000000,ME8U
0.000000,MXNU
0.000000,MZH
0.000000,N02
0.000000,N2IU
0.000000,N32
0.000000,NC2
0.000000,NHD
0.000000,NO4
0.000000,NR7
0.000000,NS8U
0.000000,O10
0.000000,O39
0.000000,O5RU
0.000000,O9E
0.000000,ODBU
0.000000,OMK
0.000000,OU8
0.000000,OV8
0.000000,OXMU
0.000000,OYY
0.000000,P15
0.000000,P34
0.000000,P40U
0.000000,P52
0.000000,P8A
0.000000,P8Z
0.000000,P9D
0.000000,Q01
0.000000,Q0F
0.000000,Q0X
0.000000,Q5T
0.000000,QC7
0.000000,QES
0.000000,QS9
0.000000,QZG
0.000000,R14
0.000000,RE4
0.000000,RQ1
0.000000,RXS
0.000000,S07
0.000000,S08
0.000000,S19
0.000000,S20
0.000000,S35
0.000000,S41
0.000000,S51
0.000000,S56
0.000000,S58
0.000000,S59
0.000000,S61
0.000000,S63
0.000000,S68
0.000000,S7OU
0.000000,S85
0.000000,SK6U
0.000000,T13
0.000000,T14
0.000000,T15
0.000000,T24
0.000000,T6I
0.000000,T82U
0.000000,TQ5
0.000000,TS0U
0.000000,U06
0.000000,U09
0.000000,U10
0.000000,U11
0.000000,U13
0.000000,U14
0.000000,U77
0.000000,U96
0.000000,U9E
0.000000,UD1U
0.000000,UD2
0.000000,V03
0.000000,VC2
0.000000,W05
0.000000,WJP
0.000000,XZL
0.000000,Y45
0.000000,Y92
0.000000,Z25
0.000000,Z4D
0.000000,Z59
0.000000,Z74
0.000000,Z77
0.000679,5LY
0.001961,5GD
0.003025,BTP
0.003583,DM0
0.008797,5HV
0.008897,DCRU
0.009613,1F2
0.010485,DHLU
0.010735,8K7
0.010841,5WH
0.011475,CRPU
0.011630,5UX
0.011697,BEW
0.013016,A50
0.013665,595
0.015217,CHZ
0.015516,5JK
0.015909,CWCU
0.021713,5JS
0.023397,5DD
0.023473,546
0.024262,B69
0.027754,B73
0.030989,A34
0.031893,BBW
0.035859,C33
0.035875,B61
0.036218,1D0
0.036326,5G2
0.036600,D01
0.037340,AWX
0.038738,BCY
0.039212,C2PU
0.045051,5CP
0.045372,BLA
0.045823,500
0.048722,40T
0.048747,CWBU
0.050330,9CI
0.050679,AIY
0.052182,41O
0.056166,BUOU
0.057175,D5IU
0.057307,BQM
0.058180,5CF
0.059339,A7RU
0.062240,41B
0.062434,BN2
0.062804,AJBU
0.064102,D03
0.065762,5TP
0.066552,D05
0.067502,C09
0.068583,570
0.074134,BTOU
0.076557,BS6
0.079321,BHK
0.084417,5VS
0.087122,543
0.089566,BN4
0.091080,BEC
0.091879,558
0.099790,BHU
0.105260,5UF
0.105827,BLS
0.107329,CY6U
0.117857,AGS
0.119994,C52
0.120247,AU8U
0.143229,AWZ
0.153915,CHJ
0.164699,CMOU
0.169327,BSL
0.173882,BDR
0.176062,BKA
0.185048,8AZ
0.251350,CLN
0.304283,C8R
0.321849,A55
0.398175,AP4
0.468303,CC3
0.868289,D8DU
